Artist,Title,Level,Color,Instrument,Style,Season,CardNo,Release,Playlist,Icon,Source,BPM,Key,Illustrator,Notes,ArtHash,CardHash
The Transformers,Main Title Song,2,Wild,Vocals|Keys|Drums|Keys,"Soundtrack, Dance/Electronic",P01,C001,2017-09-01,DM,,Promo,85,D Minor,Shawn Kenney,,73e605f276f97eab62a32841c27c92ae,
Darren Korb,Flutter Fly (From The Pyre Original Soundtrack),2,Wild,Horns|Guitar|Drums|Guitar,Soundtrack,P01,C002,4/5/2018,DM,,Promo,82,A Minor,Jen Zee,,34e0e8d9e05ce92eb258f83222c37873,
G.I. Joe,Main Title Theme (Remix),2,Wild,Vocals|Keys|Drums|Keys,"Soundtrack, Dance/Electronic",P01,C003,4/5/2018,DM,,Promo,94,G Major,Hector Garrido,,d339844578fd23a78737c4f256e5f34f,
Bruno Mars,24K Magic,2,Wild,Vocals|Keys|Drums|Keys,"Pop, R&B",S01,C001,2017-09-24,Sweets,,Gaming System,107,F Minor,Dan Stiles,,1a2f0983fabe92fbe5fd933f8d0306e1,7816fbeabb3fb3c1bae6ba257126c795
Carly Rae Jepsen,Call Me Maybe,2,Lead,Vocals,Pop,S01,C002,2017-09-24,Sweets,,Gaming System,120,G Major,Sander Berg,,60c17ebb421ba18a5e2d77fc175d739a,a73e3faa672db0450592a4bf70a2ecd7
Sia,Chandelier,3,Lead,Vocals,Pop,S01,C003,2017-09-24,Sweets,,Gaming System,87,Db Major,Lisk Feng,,8ff4534e044cccb9c33129ade79dd58d,ebc965d4e73713c9d2f4dd5c1c6122bc
Ricky Martin,La Mordidita (Ft. Yotuel),1,Loop,Horns,"Latin, Pop",S01,C004,2017-09-24,Sweets,,Gaming System,142,E Minor,Gianna Ruggiero,,6fbda3d5c388208c6531c967390e2090,c2fd4c42e791c2f240ca01d0effc9f7b
The Lingala Sound,Crystal Beach,1,Loop,Keys,"Pop, Dance/Electronic",S01,C005,2017-09-24,Sweets,,Gaming System,110,E Minor,Leonard Peng,,f2b59b11211b1dd07ddcc5d2ba95f7e3,addd2a50dd9a5615b49b5c50b0f61767
Sia,Chandelier,2,Loop,Keys,Pop,S01,C006,2017-09-24,Sweets,,Gaming System,87,Db Major,Lisk Feng,,ce19ca87b93f01c0395d9fe40c784bc5,bfae2518ea005991f0d897749da9b77d
Megan Trainor,All About That Bass,3,Loop,Guitar,"Pop, R&B",S01,C007,2017-09-24,Sweets,,Gaming System,134,A Major,Gianna Ruggiero,,33715336b59a2ed1e6efa7c0a93235f0,60603917f6362f0ee611f68b58f77297
Freda Turner,Hard Light,1,Beat,Drums,"Pop, Dance/Electronic",S01,C008,2017-09-24,Sweets,,Gaming System,128,n/a,David Medel,,320616fb271a1b74f756e5815fe07996,7c44392b3d586148550f474b1760c94c
The Lingala Sound,Crystal Beach,1,Beat,Drums,"Pop, Dance/Electronic",S01,C009,2017-09-24,Sweets,,Gaming System,110,n/a,Leonard Peng,,77397b3cb5e9a58ed820dc090776d928,00b35f3378c6b64885c1684ebdb3f2bc
CHVRCHES,The Mother We Share,2,Beat,Drums,Dance/Electronic,S01,C010,2017-09-24,Sweets,,Gaming System,87,n/a,Alison Polston,,19d1fdbcc24b80411f483c24a0599c7a,dc4a4574ae22638613b553bba2acf675
Ricky Martin,La Mordidita (Ft. Yotuel),3,Beat,Drums,"Latin, Pop",S01,C011,2017-09-24,Sweets,,Gaming System,142,n/a,Gianna Ruggiero,,51d141703425da33d81651473da9ab26,826b0cd5954141cdff5c02ec3c3e2c2c
Sam Hunt,House Party,2,Bass,Guitar,"Country, Pop",S01,C012,2017-09-24,Sweets,,Gaming System,104,Eb Major,Justin Santora,,9b5fb3f4b8550e4868729de1189d7a88,6601232eb921890f823cf353d7d88d45
Carly Rae Jepsen,Call Me Maybe,3,Bass,Strings,Pop,S01,C013,2017-09-24,Sweets,,Gaming System,120,G Major,Sander Berg,,a35d24e5d67207a0a6ac1be08d84ad81,b3dff683977e1609bc16ae8527bdb501
FX,Lift Your Voice,2,White,FX,Pop,S01,C014,2017-09-24,Sweets,,Gaming System,150,G Major,Kimberly Salt,Play an extra Vocals card,a2d668f0ec31c01abe4f297d05eb190d,71a5a679292d61d91119e909df2c8cb5
